project_id,country,project_name,keywords,scheme,sector
PALAU_WATER_KOROR_AIRAI_2025,パラオ,コロール州及びアイライ州における上水道改善計画,"コロール州|アイライ州|上水道改善|Palau|Koror|Airai|Water Supply",無償資金協力,水・衛生
MADAGASCAR_WATER_TOAMASINA_2024,マダガスカル,トアマシナ市上水道システム拡張及び改善計画,"トアマシナ|上水道|Toamasina|Water Supply",無償資金協力,水・衛生
